node_id,parent_id,depth,elapsed_us,subtree_elapsed,descendant_elapsed_us,subtree_node_count,descendant_node_count,self_time_share,p_size,candidate_count,child_count,is_leaf
0,-1,0,72,218,146,12,11,0.330275,5,5,5,0
1,0,1,51,134,83,4,3,0.380597,2,2,2,0
2,1,2,45,83,38,2,1,0.542169,1,1,1,0
3,2,3,38,38,0,1,0,1.000000,0,0,0,1
7,0,1,4,6,2,2,1,0.666667,1,1,1,0
9,0,1,3,4,1,2,1,0.750000,1,1,1,0
5,0,1,2,2,0,2,1,1.000000,1,1,1,0
8,7,2,2,2,0,1,0,1.000000,0,0,0,1
10,9,2,1,1,0,1,0,1.000000,0,0,0,1
4,1,2,0,0,0,1,0,0.000000,0,0,0,0
6,5,2,0,0,0,1,0,0.000000,0,0,0,0
11,0,1,0,0,0,1,0,0.000000,0,0,0,0
